round,name,score,score_sum,s2_round,s2_name,s2_score,s2_score_sum,s3_round,s3_name,s3_score,s3_score_sum,s3_correct_results,s3_correct_scores
34.0,josh,4.0,197.0,27.0,ed,6.0,196.0,24,jonnie,2,215,,
34.0,sam,4.0,264.0,27.0,jack,8.0,223.0,24,josh,0,202,,
35.0,andy,0.0,265.0,27.0,jake,14.0,222.0,24,sam,7,180,,
35.0,david,9.0,294.0,27.0,james,8.0,220.0,24,tom,2,183,,
35.0,jake,12.0,264.0,27.0,jonnie,14.0,233.0,25,andy,11,216,,
35.0,james,4.0,300.0,27.0,josh,8.0,201.0,25,david,2,173,,
35.0,jonnie,4.0,278.0,27.0,sam,8.0,214.0,25,ed,6,217,,
35.0,josh,4.0,201.0,28.0,andy,6.0,206.0,25,jack,6,207,,
35.0,sam,4.0,268.0,28.0,david,6.0,217.0,25,jake,6,205,,
36.0,andy,12.0,277.0,28.0,ed,6.0,202.0,25,james,8,201,,
36.0,david,10.0,304.0,28.0,jack,11.0,234.0,25,jonnie,6,221,,
36.0,jake,6.0,270.0,28.0,jake,11.0,233.0,25,josh,8,210,,
36.0,james,6.0,306.0,28.0,james,8.0,228.0,25,sam,6,186,,
36.0,jonnie,9.0,287.0,28.0,jonnie,8.0,241.0,25,tom,11,194,,
36.0,josh,14.0,215.0,28.0,josh,6.0,207.0,26,andy,4,220,,
36.0,sam,12.0,280.0,28.0,sam,4.0,218.0,26,david,6,179,,
37.0,andy,6.0,283.0,29.0,andy,6.0,212.0,26,ed,6,223,,
37.0,david,4.0,308.0,29.0,david,8.0,225.0,26,jack,6,213,,
37.0,jake,7.0,277.0,29.0,ed,10.0,212.0,26,jake,6,211,,
37.0,james,8.0,314.0,29.0,jack,10.0,244.0,26,james,11,212,,
37.0,jonnie,4.0,291.0,29.0,jake,8.0,241.0,26,jonnie,8,229,,
37.0,josh,4.0,219.0,29.0,james,11.0,239.0,26,josh,9,219,,
37.0,sam,9.0,289.0,29.0,jonnie,10.0,251.0,26,sam,6,192,,
38.0,andy,12.0,295.0,29.0,josh,10.0,217.0,26,tom,6,200,,
38.0,david,4.0,312.0,29.0,sam,15.0,233.0,27,andy,4,224,,
38.0,jake,2.0,279.0,30.0,andy,10.0,222.0,27,david,13,192,,
38.0,james,7.0,321.0,30.0,david,10.0,235.0,27,ed,6,229,,
38.0,jonnie,7.0,298.0,30.0,ed,6.0,218.0,27,jack,13,226,,
38.0,josh,5.0,224.0,30.0,jack,11.0,255.0,27,jake,6,217,,
38.0,sam,6.0,295.0,30.0,jake,8.0,249.0,27,james,11,223,,
39.0,andy,4.0,299.0,30.0,james,10.0,249.0,27,jonnie,9,238,,
39.0,david,9.0,321.0,30.0,jonnie,11.0,262.0,27,josh,9,228,,
39.0,jake,6.0,285.0,30.0,josh,11.0,228.0,27,sam,12,204,,
39.0,james,10.0,331.0,30.0,sam,8.0,241.0,27,tom,9,209,,
39.0,jonnie,10.0,308.0,31.0,andy,6.0,228.0,28,andy,6,230,,
39.0,josh,8.0,232.0,31.0,david,4.0,239.0,28,david,4,196,,
39.0,sam,13.0,308.0,31.0,ed,4.0,222.0,28,ed,4,233,,
