round,name,score,score_sum,,s2_round,s2_name,s2_score,s2_score_sum,,s3_round,s3_name,s3_score,s3_score_sum
,,,,,46,josh,9,347,,42,james,9,330
,,,,,46,sam,6,362,,42,jonnie,14,365
,,,,,47,andy,6,362,,42,josh,7,367
,,,,,47,david,6,355,,42,sam,6,344
,,,,,47,ed,8,355,,43,andy,6,336
,,,,,47,jack,6,395,,43,david,9,325
,,,,,47,jake,4,383,,43,ed,6,350
,,,,,47,james,7,404,,43,jack,13,362
,,,,,47,jonnie,6,425,,43,jake,9,342
,,,,,47,josh,6,353,,43,james,11,341
,,,,,47,sam,4,366,,43,jonnie,6,371
,,,,,48,andy,2,364,,43,josh,11,378
,,,,,48,david,12,367,,43,sam,13,357
,,,,,48,ed,2,357,,44,andy,4,340
,,,,,48,jack,4,399,,44,david,8,333
,,,,,48,jake,7,390,,44,ed,14,364
,,,,,48,james,4,408,,44,jack,10,372
,,,,,48,jonnie,4,429,,44,jake,13,355
,,,,,48,josh,4,357,,44,james,9,350
,,,,,48,sam,9,375,,44,jonnie,9,380
,,,,,49,andy,2,366,,44,josh,16,394
,,,,,49,david,7,374,,44,sam,9,366
,,,,,49,ed,4,361,,45,andy,8,348
,,,,,49,jack,7,406,,45,david,7,340
,,,,,49,jake,7,397,,45,ed,6,370
,,,,,49,james,7,415,,45,jack,6,378
,,,,,49,jonnie,4,433,,45,jake,6,361
,,,,,49,josh,7,364,,45,james,9,359
,,,,,49,sam,2,377,,45,jonnie,4,384
,,,,,50,andy,0,366,,45,josh,9,403
,,,,,50,david,9,383,,45,sam,4,370
,,,,,50,ed,6,367,,46,andy,9,357
,,,,,50,jack,11,417,,46,david,12,352
,,,,,50,jake,8,405,,46,ed,9,379
,,,,,50,james,9,424,,46,jack,4,382
,,,,,50,jonnie,8,441,,46,jake,11,372
,,,,,50,josh,9,373,,46,james,9,368
,,,,,50,sam,13,390,,46,jonnie,6,390
,,,,,51,andy,4,370,,46,josh,4,407
,,,,,51,david,4,387,,46,sam,9,379
,,,,,51,ed,6,373,,,,,
,,,,,51,jack,8,425,,,,,
,,,,,51,jake,6,411,,,,,
,,,,,51,james,8,432,,,,,
,,,,,51,jonnie,6,447,,,,,
,,,,,51,josh,8,381,,,,,
,,,,,51,sam,6,396,,,,,
,,,,,52,andy,11,381,,,,,
,,,,,52,david,10,397,,,,,
,,,,,52,ed,10,383,,,,,
,,,,,52,jack,9,434,,,,,
,,,,,52,jake,12,423,,,,,
,,,,,52,james,6,438,,,,,
,,,,,52,jonnie,8,455,,,,,
,,,,,52,josh,13,394,,,,,
,,,,,52,sam,11,407,,,,,
,,,,,53,andy,6,387,,,,,
,,,,,53,david,6,403,,,,,
,,,,,53,ed,10,393,,,,,
,,,,,53,jack,6,440,,,,,
,,,,,53,jake,4,427,,,,,
,,,,,53,james,6,444,,,,,
,,,,,53,jonnie,8,463,,,,,
,,,,,53,josh,6,400,,,,,
,,,,,53,sam,8,415,,,,,
,,,,,54,andy,6,393,,,,,
,,,,,54,david,6,409,,,,,
,,,,,54,ed,8,401,,,,,
,,,,,54,jack,9,449,,,,,
,,,,,54,jake,8,435,,,,,
,,,,,54,james,11,455,,,,,
,,,,,54,jonnie,11,474,,,,,
,,,,,54,josh,11,411,,,,,
